class_id,class_name,length_samples,duration_s,mag_peak,mag_energy,mag_rms,mag_mean,mag_std,mag_iqr,mag_ptp,x_std,y_std,z_std,x_ptp,y_ptp,z_ptp,x_absmean,y_absmean,z_absmean,x_energy,y_energy,z_energy,corr_xy,corr_xz,corr_yz,peak_pos_ratio
0,小型车,67,1.34,74.1687240600586,35839.0,23.128131866455078,15.721261024475098,16.963268280029297,17.876693725585938,72.75450897216797,16.882463455200195,7.505696773529053,11.368824005126953,78.0,38.0,52.0,9.985074996948242,5.2686567306518555,6.7313432693481445,22607.0,3993.0,9239.0,-0.2362935574539962,-0.3534300005671488,-0.4800931856769021,0.5
0,小型车,100,2.0,112.60994720458984,132724.0,36.431304931640625,22.873428344726562,28.355714797973633,13.397844314575195,111.19573211669922,27.322111129760742,11.929391860961914,16.80434226989746,113.0,59.0,57.0,16.43000030517578,7.519999980926514,10.670000076293945,84871.0,14416.0,33437.0,-0.19924266611055172,-0.8778489339332727,0.3837287101896764,0.5252525252525253
0,小型车,64,1.28,163.33401489257812,262517.0,64.04551696777344,42.076019287109375,48.284950256347656,57.247947692871094,160.17173767089844,49.54058074951172,30.42000389099121,12.210624694824219,179.0,130.0,51.0,31.078125,19.734375,8.921875,192747.0,59571.0,10199.0,0.009924388236171233,0.36649699652252415,-0.7161066072357788,0.6507936507936508
0,小型车,89,1.78,217.0,827143.0,96.404052734375,62.8882942199707,73.0671157836914,116.8971939086914,215.0,63.14741134643555,48.02225875854492,47.904537200927734,299.0,212.0,168.0,38.82022476196289,28.69662857055664,29.752809524536133,355159.0,209026.0,262958.0,0.1494675513949847,0.51060899390445,-0.5109011068734626,0.5568181818181818
0,小型车,141,2.82,193.3985595703125,770282.0,73.91206359863281,52.43332290649414,52.093563079833984,55.033447265625,185.7174072265625,45.50691223144531,26.00777244567871,46.58274841308594,207.0,124.0,187.0,33.8510627746582,16.709218978881836,28.347517013549805,313491.0,100306.0,356485.0,0.29192650181823265,-0.13773798534657547,-0.7352046418093945,0.6142857142857143
0,小型车,76,1.52,202.23995971679688,394817.0,72.0760726928711,42.93424606323242,57.893096923828125,37.84033966064453,196.58309936523438,59.030540466308594,27.272563934326172,15.749835014343262,216.0,126.0,56.0,32.77631759643555,17.144737243652344,10.5921049118042,316675.0,56913.0,21229.0,0.08602738942064363,-0.49841865480250064,-0.8018323171599889,0.49333333333333335
0,小型车,62,1.24,156.704345703125,191072.5,55.51409149169922,33.066688537597656,44.591575622558594,32.86505126953125,154.41305541992188,42.81712341308594,26.236186981201172,19.143850326538086,196.0,136.0,91.0,22.919355392456055,13.112903594970703,12.258064270019531,121841.5,46075.0,23156.0,0.09399242915909788,0.7330780727730435,-0.3877901782961265,0.6885245901639344
0,小型车,69,1.38,116.7433090209961,154039.0,47.248802185058594,32.06204605102539,34.705543518066406,40.251487731933594,115.01126098632812,32.47685623168945,15.64284610748291,23.87419891357422,119.0,68.0,77.0,22.04347801208496,9.739130020141602,17.01449203491211,88483.0,17274.0,48282.0,-0.36548478676728935,-0.7707820047213464,0.6911788663322326,0.5441176470588235
0,小型车,55,1.1,131.5028533935547,199745.0,60.26381301879883,42.09879684448242,43.120975494384766,64.2965316772461,128.340576171875,45.42145919799805,26.34103012084961,13.751585960388184,138.0,104.0,47.0,30.89090919494629,18.545454025268555,9.818181991577148,149567.0,38832.0,11346.0,-0.190219245581969,-0.008501340903110827,0.7879991596389898,0.42592592592592593
0,小型车,49,0.98,85.37564086914062,83983.0,41.399742126464844,30.99264907836914,27.44803237915039,53.03129196166992,80.27661895751953,25.427410125732422,23.4990234375,18.98501205444336,117.0,81.0,58.0,17.918367385864258,15.918367385864258,14.428571701049805,31770.0,31682.0,20531.0,0.07746801329154006,0.4973780991108709,0.8204423958349653,0.5208333333333334
0,小型车,76,1.52,177.21737670898438,399542.0,72.5060806274414,49.68987274169922,52.801971435546875,58.216163635253906,168.97116088867188,56.271331787109375,28.20720100402832,26.563716888427734,201.0,125.0,92.0,35.26315689086914,16.236841201782227,18.447368621826172,277084.0,62638.0,59820.0,-0.27813411274017524,-0.30759953039931814,0.805998792427145,0.5066666666666667
0,小型车,80,1.6,168.86976623535156,525677.0,81.06147003173828,55.36442947387695,59.20930480957031,91.68528747558594,168.86976623535156,65.96851348876953,40.445701599121094,19.568069458007812,278.0,195.0,80.0,43.57500076293945,23.162500381469727,11.949999809265137,356676.0,135117.0,33884.0,0.03950559345216372,0.27112151200897716,-0.8259641871733533,0.5443037974683544
0,小型车,105,2.1,293.22515869140625,591199.0,75.03643798828125,38.976200103759766,64.11959838867188,32.164798736572266,292.22515869140625,57.043453216552734,39.98550033569336,22.28019905090332,306.0,253.0,123.0,26.77142906188965,17.380952835083008,12.066666603088379,365051.0,169425.0,56723.0,-0.2233180232351193,0.15298054116727208,0.7467109602725556,0.375
0,小型车,78,1.56,134.25814819335938,234624.5,54.84529495239258,36.42924118041992,40.99898147583008,52.847164154052734,132.4553680419922,40.64181137084961,25.0335636138916,16.012609481811523,148.0,108.0,62.0,25.935897827148438,15.807692527770996,10.35897445678711,160277.5,49577.0,24770.0,-0.2020286592121148,-0.00413855328583104,0.7478551385476521,0.6493506493506493
0,小型车,119,2.38,147.5669403076172,377541.0,56.325958251953125,34.34520721435547,44.643253326416016,25.487056732177734,145.33087158203125,40.385475158691406,34.12167739868164,13.141111373901367,197.0,180.0,84.0,20.789915084838867,19.747900009155273,8.445378303527832,216524.0,140344.0,20673.0,0.08903430462610307,0.5450370753672324,-0.5958440126910605,0.559322033898305
0,小型车,108,2.16,311.69415283203125,1466953.0,116.54569244384766,72.12583923339844,91.54650115966797,113.77835845947266,308.0541076660156,78.4907455444336,62.89814376831055,50.96285629272461,405.0,256.0,182.0,48.05555725097656,33.685184478759766,28.08333396911621,668524.0,453152.0,345277.0,-0.4112339517327147,0.7907309878539421,-0.7535890902931489,0.37383177570093457
0,小型车,86,1.72,333.11895751953125,1153516.5,115.8144302368164,63.966190338134766,96.54692840576172,71.49137878417969,332.61895751953125,86.50081634521484,54.69693374633789,39.52016830444336,371.0,273.0,164.0,42.627906799316406,29.220930099487305,20.988372802734375,738066.0,260963.5,154487.0,0.10867074200167749,0.020855562546751114,-0.8057546602381735,0.5294117647058824
0,小型车,65,1.3,214.67184448242188,316982.0,69.8329849243164,37.93756103515625,58.62923812866211,36.43549728393555,213.67184448242188,56.26544189453125,31.011316299438477,17.463876724243164,238.0,154.0,72.0,25.78461456298828,17.4769229888916,9.938461303710938,232098.0,63066.0,21818.0,0.1908863466893509,-0.014258567851292455,-0.8182556703744347,0.515625
