speed_kmh,sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
20,72,-12.42038911,-20.33460997,15.12556418,28.22313094
20,73,-14.76018127,-20.87786110,10.99858886,27.83373838
20,74,-17.27457074,-20.90779994,6.95573269,27.99873408
20,75,-19.85319096,-20.74890175,2.94382221,28.86749390
20,76,-22.79118038,-20.27392277,-0.51715239,30.50798738
20,77,-25.97328766,-19.60046033,-3.59559847,32.73710503
20,78,-29.24520089,-18.85397991,-6.53332019,35.40393490
20,79,-32.29093550,-17.61566413,-8.95613610,37.85800460
20,80,-35.25346365,-16.19641222,-11.18952877,40.37741971
20,81,-38.00079753,-14.60108076,-13.23654128,42.80722133
20,82,-40.11521292,-12.61242262,-14.86490269,44.60122021
20,83,-41.99679060,-10.47906768,-16.33925097,46.26567196
20,84,-43.20847336,-8.77800611,-17.35286093,47.38298580
20,85,-43.58947683,-7.72150074,-17.79289467,47.71007404
20,86,-43.66489048,-6.90211433,-18.02192152,47.73941242
20,87,-43.74783056,-5.96815436,-18.19220762,47.75403610
20,88,-43.87352168,-4.92477688,-18.34717899,47.80960478
20,89,-44.01494003,-3.84114694,-18.49651639,47.89770845
20,90,-44.28777087,-1.31392599,-18.41261547,47.98080302
20,91,-44.60894565,1.74436241,-18.24291098,48.22659674
20,92,-44.67923658,4.86876899,-17.89716922,48.37610731
20,93,-43.85122669,7.62974723,-17.05325128,47.66504489
20,94,-42.69275040,10.25702765,-16.02606457,46.74090605
20,95,-41.06298742,12.29094705,-15.05561459,45.43025254
20,96,-38.91013286,13.56240478,-14.23019446,43.59398693
20,97,-36.56484365,14.55336853,-13.45812783,41.59218113
20,98,-33.90810421,15.19330845,-12.44002093,39.18354595
20,99,-31.05656947,15.62150196,-11.24284492,36.53687715
20,100,-28.13337354,15.97179832,-9.97979305,33.85529969
20,101,-25.44819074,16.18870446,-8.46927403,31.32751453
20,102,-22.85056809,16.35653909,-6.86771692,28.92836616
20,103,-20.37552999,16.36227732,-5.35268189,26.67466110
20,104,-18.21670720,15.87625163,-4.22951589,24.53146126
20,105,-16.17421351,15.20931610,-3.25051045,22.43867860
20,106,-14.29355907,14.60404885,-2.26614426,20.56014308
20,107,-12.59148611,14.14968939,-1.22141149,18.98028130
20,108,-10.95510960,13.75084579,-0.15447110,17.58192389
20,109,-9.78093021,13.36668836,0.65307480,16.57593014
20,110,-8.92279320,12.98602134,1.27600674,15.80763050
20,111,-8.18092170,12.60663837,1.83102299,15.13959894
20,112,-7.58255546,11.52199077,2.13818068,13.95790941
30,0,1.13126398,-5.93260849,-0.26471471,6.04530194
30,1,0.46025667,-7.18642652,1.08151663,7.28191188
30,2,-0.16650455,-8.37954958,2.79082415,8.83364446
