k,t,x,y,z
170,0.649623430962343,-364.86547207439,-1074.50092428548,-2323.41449150267
171,0.662092050209205,-363.837201141528,-1074.86586243827,-2321.63975185857
172,0.674560669456067,-363.371655022099,-1074.65484372444,-2320.62116592763
173,0.687029288702929,-362.151086694542,-1074.06837549873,-2319.67398215433
174,0.699497907949791,-361.262370222446,-1073.15602731622,-2318.89881919381
175,0.711966527196653,-361.553543364027,-1072.42850163469,-2318.75827724835
176,0.724435146443515,-361.358529206494,-1072.38876534112,-2317.69889754895
177,0.736903765690377,-360.559656312163,-1071.81635664977,-2317.60680227211
178,0.749372384937238,-360.149053160532,-1071.35518291044,-2317.87817303236
179,0.7618410041841,-360.298359344975,-1071.3305415633,-2318.57505163191
180,0.774309623430962,-361.152736384594,-1071.94830224141,-2319.24643969472
181,0.786778242677824,-362.075138242729,-1072.64170613109,-2320.5440596948
182,0.799246861924686,-361.988995662715,-1073.312414047,-2321.07384062147
183,0.811715481171548,-360.907761817488,-1073.89903858506,-2320.27380588271
184,0.82418410041841,-360.026275310953,-1074.41477373695,-2318.68885610797
185,0.836652719665272,-359.959533278637,-1074.52685602562,-2319.08662423975
186,0.849121338912134,-360.316302043993,-1074.51308072616,-2319.89468529369
187,0.861589958158996,-360.998695227908,-1074.46105189308,-2320.46731608359
188,0.874058577405858,-361.611087356702,-1074.36374321076,-2320.53707889552
189,0.88652719665272,-360.858995432285,-1073.46492212833,-2318.72946074222
190,0.898995815899582,-360.133282060715,-1072.48760664252,-2317.51155284822
191,0.911464435146444,-359.459865123209,-1071.95530655201,-2317.20303392664
192,0.923933054393305,-358.76568557341,-1071.92701558599,-2318.1891811465
193,0.936401673640167,-358.827389508332,-1071.13600987763,-2318.87508997394
194,0.948870292887029,-359.290113776105,-1070.20408616991,-2318.76923600355
195,0.961338912133891,-359.786535478395,-1069.8532943915,-2317.69659871207
196,0.973807531380753,-359.46944185691,-1070.57788084475,-2316.30398384437
197,0.986276150627615,-359.256005230777,-1071.3822814449,-2315.45731596033
198,0.998744769874477,-359.070036141556,-1071.53617699147,-2316.00407210253
199,1.01121338912134,-358.91558215061,-1071.39498158601,-2316.61800699092
200,1.0236820083682,-358.838642030344,-1071.27482020298,-2317.02951205559
201,1.03615062761506,-358.908247669599,-1071.06961896054,-2316.1837673071
202,1.04861924686192,-358.812700527515,-1070.23171867669,-2315.61945894343
203,1.06108786610879,-359.241349505179,-1069.4578183628,-2314.75353411055
204,1.07355648535565,-359.982660956209,-1068.85197043345,-2314.34948588877
205,1.08602510460251,-360.771465540267,-1068.79809931906,-2315.02068274366
206,1.09849372384937,-360.098122518512,-1068.78051742603,-2315.63634311593
207,1.11096234309623,-359.324754946743,-1068.29243543954,-2315.29496024964
208,1.1234309623431,-358.869288028031,-1067.79613279768,-2314.81024599441
209,1.13589958158996,-358.996810637732,-1067.85869724077,-2314.5308173589
210,1.14836820083682,-358.77865834016,-1067.83612820689,-2314.26685455061
211,1.16083682008368,-359.175314592248,-1067.12666280182,-2314.69656295041
212,1.17330543933054,-360.057812262242,-1066.70803790901,-2315.01208994032
213,1.18577405857741,-360.819150114189,-1066.68443844092,-2314.95948288049
214,1.19824267782427,-360.151395054589,-1065.89674925486,-2314.0519341913
215,1.21071129707113,-359.907233795998,-1065.11995098973,-2314.48101178002
216,1.22317991631799,-360.034693630693,-1064.6944373463,-2315.2502134778
217,1.23564853556485,-360.412186320438,-1064.53226130562,-2315.63016451924
218,1.24811715481172,-360.10101534094,-1064.54632675961,-2315.33118704999
219,1.26058577405858,-359.266036735736,-1064.53149417753,-2313.77816585854
220,1.27305439330544,-358.317950364142,-1064.07221941075,-2312.13121942324
221,1.2855230125523,-357.408863358187,-1063.34786542783,-2311.02943676099
222,1.29799163179916,-356.561908834367,-1062.67820670423,-2310.78851582889
223,1.31046025104603,-356.652862077784,-1061.94362650958,-2311.33193752682
224,1.32292887029289,-356.584213446734,-1061.20793334098,-2311.71724357315
225,1.33539748953975,-356.33769801651,-1061.05429690046,-2311.70688191616
226,1.34786610878661,-355.438723924518,-1061.78875791447,-2310.94165454234
227,1.36033472803347,-355.985134408725,-1062.53873634985,-2310.93321304394
228,1.37280334728033,-357.215820844958,-1062.81103274481,-2311.39580232546
229,1.3852719665272,-358.161868932081,-1062.00854657559,-2312.59076225708
230,1.39774058577406,-358.362414103554,-1060.4698344456,-2313.27550997333
231,1.41020920502092,-357.491890695368,-1058.88352365631,-2309.33526692453
232,1.42267782426778,-353.732741036451,-1059.97080566521,-2303.37926121811
233,1.43514644351464,-350.235276405257,-1060.6966960266,-2300.6370202638
234,1.44761506276151,-348.568737151279,-1060.00608090931,-2301.70045810137
235,1.46008368200837,-351.569489821842,-1057.50234724938,-2306.37739300602
236,1.47255230125523,-354.823851688431,-1056.57265130097,-2309.61529162179
237,1.48502092050209,-355.512553888559,-1056.24466765323,-2310.24129955483
238,1.49748953974895,-354.44357944164,-1056.02815756789,-2309.27840480954
239,1.50995815899582,-353.458330030964,-1055.69197402774,-2308.24685106925
240,1.52242677824268,-354.356337049724,-1054.87998031632,-2308.97840925466
241,1.53489539748954,-355.400169091267,-1054.1455246516,-2310.25199090718
242,1.5473640167364,-355.92931725615,-1053.7075642519,-2311.12245654317
243,1.55983263598326,-355.942376975455,-1053.62650486077,-2310.87949402492
244,1.57230125523013,-355.927479335669,-1053.43115747944,-2309.33896069894
245,1.58476987447699,-355.816752095424,-1052.82212738725,-2308.35599484486
246,1.59723849372385,-355.785252348655,-1052.02740288513,-2307.60538597296
247,1.60970711297071,-355.975877553505,-1051.07063826617,-2306.87259221216
248,1.62217573221757,-356.845579113037,-1050.21920753597,-2306.19167057497
249,1.63464435146444,-357.597212380612,-1049.36291156223,-2305.5316845337
250,1.6471129707113,-357.69033686901,-1048.6464349617,-2304.87583748335
251,1.65958158995816,-357.459177270552,-1047.71284491432,-2304.11089150926
252,1.67205020920502,-356.804412427984,-1046.1365417545,-2303.26684876422
253,1.68451882845188,-356.366510164766,-1044.76316931498,-2302.56064298383
254,1.69698744769874,-356.235941386757,-1043.75487045806,-2302.10598141559
255,1.70945606694561,-356.222616324313,-1043.16399537865,-2301.68480122943
256,1.72192468619247,-356.306988783482,-1043.11887847301,-2300.72631439761
257,1.73439330543933,-356.348111590086,-1042.1952005966,-2299.76582541901
258,1.74686192468619,-356.295126901931,-1040.8044737997,-2299.33544357822
259,1.75933054393305,-357.210075723358,-1039.30543338609,-2299.4665798558
260,1.77179916317992,-358.770922158402,-1037.79507602831,-2299.32911064861
261,1.78426778242678,-360.885109092502,-1036.90381506569,-2298.48130177069
262,1.79673640167364,-361.83346102114,-1035.98134492016,-2296.91898712731
263,1.8092050209205,-362.680355426717,-1035.19656893654,-2295.79390275834
264,1.82167364016736,-363.577459768443,-1034.77024003275,-2294.94488844745
265,1.83414225941423,-364.40857464703,-1034.22993608127,-2294.4062291271
266,1.84661087866109,-364.471286241349,-1032.70014970081,-2293.46858090421
267,1.85907949790795,-364.141465935564,-1031.59637706802,-2292.17287364255
268,1.87154811715481,-363.530628544698,-1030.78024114658,-2290.45063107897
269,1.88401673640167,-362.827824758247,-1029.96171399505,-2288.80482992458
270,1.89648535564854,-363.632077914099,-1028.48122667769,-2288.66113716865
271,1.9089539748954,-364.296787516349,-1026.37602944376,-2288.19839181976
272,1.92142259414226,-365.194395552399,-1024.34957352086,-2287.30752487163
273,1.93389121338912,-365.81047568026,-1022.80198464306,-2286.67623739666
274,1.94635983263598,-366.512249836515,-1021.92174911618,-2285.87388759708
275,1.95882845188285,-367.459327967781,-1020.26433450629,-2284.59009996262
276,1.97129707112971,-368.651792692386,-1018.62630918658,-2283.05006662323
277,1.98376569037657,-369.882567725151,-1016.88740750807,-2281.48327472189
278,1.99623430962343,-370.440605064508,-1015.13000193395,-2279.96897957631
279,2.00870292887029,-370.338877649082,-1013.97981525127,-2279.16046355805
280,2.02117154811716,-370.50704231116,-1013.54706900668,-2277.98451322797
281,2.03364016736402,-370.733767459476,-1013.27904107926,-2276.29468962348
282,2.04610878661088,-371.492575398132,-1012.56393471021,-2274.2200146004
283,2.05857740585774,-373.879955097157,-1008.95081143299,-2267.8710350659
284,2.0710460251046,-376.625981940472,-1005.48184632442,-2263.32419567483
285,2.08351464435146,-379.151165549331,-1003.21060659817,-2260.64570074227
286,2.09598326359833,-380.57214954738,-1003.27638860044,-2258.97083398136
287,2.10845188284519,-381.362648383623,-1001.80795765901,-2254.40070417473
288,2.12092050209205,-382.072628086715,-1000.42275216431,-2254.59556974772
289,2.13338912133891,-382.746730549273,-998.991966671131,-2256.53672580348
290,2.14585774058577,-383.381963003916,-997.883146075801,-2257.81779502984
291,2.15832635983264,-384.549454050026,-997.084970187603,-2257.16678539942
292,2.1707949790795,-385.743982739959,-996.475906216444,-2255.6830344144
293,2.18326359832636,-387.115313804545,-995.324050999849,-2253.81916057195
294,2.19573221757322,-388.637081138126,-993.770806563385,-2251.50094921637
295,2.20820083682008,-390.849105674652,-992.105225015827,-2250.08360701529
296,2.22066945606695,-393.690666914866,-990.587552073491,-2249.30031320366
297,2.23313807531381,-396.163265838586,-989.134095548294,-2248.7009309912
298,2.24560669456067,-398.474725982239,-987.735058935096,-2247.83792880764
299,2.25807531380753,-400.801249732978,-986.410735813436,-2246.30277938364
300,2.27054393305439,-403.061379973548,-985.628556405118,-2243.97896052866
301,2.28301255230126,-405.113959050229,-984.884415950393,-2241.45453451527
302,2.29548117154812,-407.24732153107,-983.949504233448,-2239.44681856026
303,2.30794979079498,-409.45315478821,-982.360965947717,-2238.72708580637
304,2.32041841004184,-411.04729103856,-981.651269790541,-2237.16952831247
305,2.3328870292887,-412.661772269444,-980.977495571007,-2234.87446922294
306,2.34535564853556,-414.558955906057,-979.560020816908,-2232.81202936803
307,2.35782426778243,-416.8316941901,-977.287859347449,-2231.20320082159
308,2.37029288702929,-419.194124361012,-975.604720633347,-2229.90382814306
309,2.38276150627615,-422.725436047248,-973.873411700458,-2230.18453215919
310,2.39523012552301,-427.813666521199,-972.870000399742,-2228.35161040916
311,2.40769874476987,-433.06894276213,-972.339205747856,-2222.93575145813
312,2.42016736401674,-434.57176252821,-973.204935741819,-2213.66598376855
313,2.4326359832636,-435.351704539017,-973.271678958824,-2208.63178412587
314,2.44510460251046,-437.066193347553,-972.048721786966,-2207.45210314265
315,2.45757322175732,-438.938556817237,-970.141281686899,-2209.52443006611
316,2.47004184100418,-439.785808730958,-968.787629447736,-2214.01051943486
317,2.48251046025105,-442.049012134724,-969.305756635548,-2213.75506304425
318,2.49497907949791,-444.790895844096,-968.898177193119,-2212.01597596609
319,2.50744769874477,-447.858720300313,-967.920040854337,-2209.97767868616
320,2.51991631799163,-450.885998651902,-966.584879577244,-2208.51255847388
321,2.53238493723849,-453.887297611835,-965.82791880356,-2207.85811008644
322,2.54485355648536,-457.062314433704,-965.476089521243,-2206.91745383599
323,2.55732217573222,-459.984995658685,-965.3580831957,-2204.97542591756
324,2.56979079497908,-463.045990974015,-965.208117496373,-2202.0030779104
325,2.58225941422594,-466.779378082256,-965.146773738046,-2198.73703139575
326,2.5947280334728,-471.303121224539,-965.837506123067,-2196.4356164247
327,2.60719665271967,-475.528186692367,-966.755592799361,-2194.59555021058
328,2.61966527196653,-479.407227256551,-967.425802796449,-2193.02932887227
329,2.63213389121339,-483.138953419299,-967.432558619414,-2191.55169969429
330,2.64460251046025,-487.649346667833,-967.299062449014,-2188.70940249086
331,2.65707112970711,-492.643939992055,-967.167012917492,-2186.1741932379
332,2.66953974895397,-498.02386644505,-967.097347307592,-2184.33634501268
333,2.68200836820084,-503.248342739084,-967.074307110114,-2182.88992069459
334,2.6944769874477,-507.162980528968,-966.989005784086,-2182.84914635993
335,2.70694560669456,-511.380102348769,-967.009564563447,-2182.30386279302
336,2.71941422594142,-516.451455409074,-967.334829196439,-2181.03146912452
337,2.73188284518828,-522.727931075104,-968.113528173896,-2178.83160847934
338,2.74435146443515,-528.839655569754,-969.523159722501,-2178.16828407071
339,2.75682008368201,-533.84872210706,-970.851832994279,-2178.57940940681
340,2.76928870292887,-542.006368071604,-971.544331718576,-2179.11940820405
341,2.78175732217573,-554.451930423948,-971.765116848722,-2179.12288742805
342,2.79422594142259,-567.629291222693,-973.312982453604,-2176.22144327422
343,2.80669456066946,-574.27117511769,-978.711137931664,-2174.68823688425
344,2.81916317991632,-580.436089185534,-983.961365073624,-2175.28343880968
345,2.83163179916318,-585.888377389986,-986.794371193232,-2176.82917909532
346,2.84410041841004,-586.523296327685,-984.395741846012,-2179.80698169202
347,2.8565690376569,-587.359577191949,-982.715765210553,-2183.37217085657
348,2.86903765690377,-591.803113207969,-983.946422906422,-2185.57301481053
349,2.88150627615063,-598.694205665272,-986.67851319272,-2187.00265431984
350,2.89397489539749,-605.694946570317,-989.016777492918,-2188.6910051912
351,2.90644351464435,-611.823536191212,-990.549932053176,-2191.63343996294
352,2.91891213389121,-617.307340637661,-991.995807499213,-2194.95349650771
353,2.93138075313808,-623.407735863234,-994.092706429036,-2197.07181609505
354,2.94384937238494,-630.399100049603,-997.170055309641,-2197.90117978705
355,2.9563179916318,-638.154314190938,-1000.97839958392,-2199.36942703399
356,2.96878661087866,-646.403850324954,-1003.68742622127,-2202.12381776379
357,2.98125523012552,-654.020206915334,-1005.75090267861,-2205.10812243544
358,2.99372384937239,-660.971003875439,-1007.64772826837,-2207.87710472275
359,3.00619246861925,-667.939132297729,-1010.6043390109,-2210.10239363353
360,3.01866108786611,-676.154344845883,-1014.92822327342,-2211.73241522713
361,3.03112970711297,-684.561794898575,-1019.13479145713,-2213.47597077829
362,3.04359832635983,-693.13913154067,-1023.05376433813,-2215.79192627579
363,3.05606694560669,-702.424834758185,-1026.82802604271,-2218.82608439991
364,3.06853556485356,-708.672248394211,-1029.86903050301,-2221.23227041369
365,3.08100418410042,-713.759661964949,-1032.95304251904,-2223.15515562045
366,3.09347280334728,-718.738184317849,-1036.8499609174,-2224.73932393345
367,3.10594142259414,-724.070357554653,-1042.21531510734,-2226.22798457635
368,3.118410041841,-726.942878270933,-1048.4154002966,-2227.62019295257
369,3.13087866108787,-729.962758655446,-1052.79065827306,-2229.56280850307
