t_local_s,t_plot_s,dBx_nT,dBy_nT,dBz_nT,b_nT
1.100000000000000089e+00,7.959999999999999076e+00,-2.688999999999999773e+02,5.889999999999999858e+01,-2.360000000000000142e+01,2.762849615885743333e+02
1.120000000000000107e+00,7.979999999999999538e+00,-2.618999999999999773e+02,6.990000000000000568e+01,-2.160000000000000142e+01,2.719267916186266234e+02
1.140000000000000124e+00,8.000000000000000000e+00,-2.529000000000000057e+02,7.990000000000000568e+01,-1.960000000000000142e+01,2.659446934984791255e+02
1.160000000000000142e+00,8.019999999999999574e+00,-2.399000000000000057e+02,8.490000000000000568e+01,-2.060000000000000142e+01,2.553123185433871924e+02
1.180000000000000160e+00,8.039999999999999147e+00,-2.259000000000000057e+02,9.390000000000000568e+01,-2.060000000000000142e+01,2.455043380472125136e+02
1.199999999999999956e+00,8.059999999999998721e+00,-2.089000000000000057e+02,9.390000000000000568e+01,-1.860000000000000142e+01,2.297876846134274444e+02
1.219999999999999973e+00,8.080000000000000071e+00,-1.929000000000000057e+02,9.790000000000000568e+01,-1.760000000000000142e+01,2.170358956486230966e+02
1.239999999999999991e+00,8.099999999999999645e+00,-1.739000000000000057e+02,9.790000000000000568e+01,-1.559999999999999964e+01,2.001723757165308939e+02
1.260000000000000009e+00,8.119999999999999218e+00,-1.579000000000000057e+02,9.690000000000000568e+01,-1.059999999999999964e+01,1.855650290329511449e+02
1.280000000000000027e+00,8.139999999999998792e+00,-1.389000000000000057e+02,9.290000000000000568e+01,-7.599999999999999645e+00,1.672763581621742617e+02
1.300000000000000044e+00,8.160000000000000142e+00,-1.219000000000000057e+02,8.890000000000000568e+01,-5.599999999999999645e+00,1.509774155296082654e+02
1.320000000000000062e+00,8.179999999999999716e+00,-1.079000000000000057e+02,8.390000000000000568e+01,-6.000000000000000888e-01,1.366820397857743501e+02
1.340000000000000080e+00,8.199999999999999289e+00,-9.390000000000000568e+01,7.990000000000000568e+01,3.399999999999999911e+00,1.233400989135325858e+02
1.360000000000000098e+00,8.219999999999998863e+00,-8.690000000000000568e+01,7.390000000000000568e+01,7.400000000000000355e+00,1.143135162612015989e+02
1.380000000000000115e+00,8.240000000000000213e+00,-7.190000000000000568e+01,6.990000000000000568e+01,7.400000000000000355e+00,1.005503853796692511e+02
1.400000000000000133e+00,8.259999999999999787e+00,-6.289999999999999858e+01,6.289999999999999858e+01,9.400000000000000355e+00,8.944931525730088140e+01
1.420000000000000151e+00,8.279999999999999361e+00,-5.589999999999999858e+01,5.789999999999999858e+01,7.400000000000000355e+00,8.082066567407125035e+01
1.439999999999999947e+00,8.299999999999998934e+00,-5.089999999999999858e+01,5.389999999999999858e+01,5.400000000000000355e+00,7.433155453776006993e+01
1.459999999999999964e+00,8.320000000000000284e+00,-4.589999999999999858e+01,5.089999999999999858e+01,2.399999999999999911e+00,6.858119275719838015e+01
1.479999999999999982e+00,8.339999999999999858e+00,-4.089999999999999858e+01,4.889999999999999858e+01,3.399999999999999911e+00,6.384026942299037444e+01
1.500000000000000000e+00,8.359999999999999432e+00,-3.589999999999999858e+01,4.589999999999999858e+01,1.399999999999999911e+00,5.828876392582021282e+01
1.520000000000000018e+00,8.379999999999999005e+00,-3.389999999999999858e+01,4.289999999999999858e+01,2.399999999999999911e+00,5.473006486383877700e+01
1.540000000000000036e+00,8.399999999999998579e+00,-3.389999999999999858e+01,3.889999999999999858e+01,1.399999999999999911e+00,5.161763264621886549e+01
1.560000000000000053e+00,8.419999999999999929e+00,-2.989999999999999858e+01,3.489999999999999858e+01,2.399999999999999911e+00,4.601934375890208173e+01
1.580000000000000071e+00,8.439999999999999503e+00,-2.689999999999999858e+01,3.189999999999999858e+01,3.999999999999999112e-01,4.172984543465263840e+01
1.600000000000000089e+00,8.459999999999999076e+00,-2.489999999999999858e+01,2.889999999999999858e+01,1.399999999999999911e+00,3.817302712649338758e+01
1.620000000000000107e+00,8.480000000000000426e+00,-2.489999999999999858e+01,2.589999999999999858e+01,3.399999999999999911e+00,3.608850232414750536e+01
1.640000000000000124e+00,8.500000000000000000e+00,-2.289999999999999858e+01,2.689999999999999858e+01,2.399999999999999911e+00,3.540875597927721685e+01
1.660000000000000142e+00,8.519999999999999574e+00,-1.989999999999999858e+01,2.389999999999999858e+01,3.399999999999999911e+00,3.128545988154880320e+01
1.680000000000000160e+00,8.539999999999999147e+00,-1.989999999999999858e+01,2.289999999999999858e+01,2.399999999999999911e+00,3.043320554920233434e+01
1.700000000000000178e+00,8.559999999999998721e+00,-1.789999999999999858e+01,1.889999999999999858e+01,3.399999999999999911e+00,2.625223799983536210e+01
1.720000000000000195e+00,8.580000000000000071e+00,-1.889999999999999858e+01,1.789999999999999858e+01,1.399999999999999911e+00,2.606875524454514448e+01
1.740000000000000213e+00,8.599999999999999645e+00,-1.689999999999999858e+01,1.789999999999999858e+01,3.999999999999999112e-01,2.462072297882415839e+01
1.760000000000000231e+00,8.619999999999999218e+00,-1.589999999999999858e+01,1.689999999999999858e+01,1.399999999999999911e+00,2.324607493750288612e+01
1.780000000000000249e+00,8.640000000000000568e+00,-1.489999999999999858e+01,1.490000000000000036e+01,1.399999999999999911e+00,2.111823856291049495e+01
