k,t,x,y,z
7789,155.78,-340,-2143,-1687
7790,155.8,-340,-2142,-1688
7791,155.82,-340,-2142,-1687
7792,155.84,-340,-2141,-1686
7793,155.86,-339,-2141,-1686
7794,155.88,-339,-2142,-1686
7795,155.9,-339,-2142,-1686
7796,155.92,-338,-2143,-1686
7797,155.94,-338,-2144,-1686
7798,155.96,-339,-2145,-1687
7799,155.98,-340,-2145,-1688
7800,156,-341,-2145,-1688
7801,156.02,-342,-2146,-1688
7802,156.04,-342,-2145,-1688
7803,156.06,-342,-2144,-1688
7804,156.08,-341,-2143,-1688
7805,156.1,-340,-2142,-1688
7806,156.12,-340,-2142,-1688
7807,156.14,-340,-2141,-1688
7808,156.16,-340,-2141,-1688
7809,156.18,-340,-2141,-1688
7810,156.2,-340,-2141,-1687
7811,156.22,-340,-2142,-1686
7812,156.24,-340,-2142,-1686
7813,156.26,-340,-2142,-1685
7814,156.28,-340,-2142,-1684
7815,156.3,-340,-2142,-1685
7816,156.32,-340,-2142,-1686
7817,156.34,-340,-2142,-1686
7818,156.36,-340,-2142,-1686
7819,156.38,-340,-2142,-1686
7820,156.4,-340,-2143,-1686
7821,156.42,-341,-2143,-1685
7822,156.44,-341,-2142,-1685
7823,156.46,-339,-2142,-1687
7824,156.48,-339,-2142,-1688
7825,156.5,-340,-2142,-1688
7826,156.52,-340,-2142,-1687
7827,156.54,-340,-2142,-1685
7828,156.56,-341,-2143,-1683
7829,156.58,-342,-2143,-1682
7830,156.6,-342,-2142,-1682
7831,156.62,-341,-2142,-1681
7832,156.64,-340,-2142,-1681
7833,156.66,-339,-2142,-1682
7834,156.68,-339,-2143,-1684
7835,156.7,-340,-2144,-1682
7836,156.72,-340,-2144,-1682
7837,156.74,-340,-2144,-1684
7838,156.76,-339,-2144,-1682
7839,156.78,-338,-2144,-1682
7840,156.8,-339,-2144,-1683
7841,156.82,-340,-2143,-1683
7842,156.84,-339.75,-2143,-1683.5
7843,156.86,-339.5,-2143,-1684
7844,156.88,-339.25,-2143,-1684.5
7845,156.9,-339,-2143,-1685
7846,156.92,-340,-2143,-1684
7847,156.94,-340,-2144,-1684
7848,156.96,-340,-2144,-1683
7849,156.98,-340,-2144,-1682
7850,157,-340,-2144,-1681
7851,157.02,-340,-2143,-1680
7852,157.04,-340,-2143,-1680
7853,157.06,-340,-2143,-1680
7854,157.08,-340,-2143,-1680
7855,157.1,-340,-2143,-1680
7856,157.12,-340,-2142,-1680
7857,157.14,-339,-2142,-1679
7858,157.16,-339,-2142,-1679
7859,157.18,-340,-2142,-1680
7860,157.2,-340,-2142,-1681
7861,157.22,-340,-2142,-1682
7862,157.24,-340,-2142,-1682
7863,157.26,-339,-2142,-1681
7864,157.28,-338,-2142,-1680
7865,157.3,-338,-2143,-1680
7866,157.32,-337,-2143,-1679
7867,157.34,-336,-2142,-1678
7868,157.36,-337,-2143,-1678
7869,157.38,-338,-2144,-1679
7870,157.4,-339,-2144,-1681
7871,157.42,-340,-2144,-1682
7872,157.44,-340,-2144,-1682
7873,157.46,-340,-2144,-1682
7874,157.48,-340,-2144,-1682
7875,157.5,-340,-2143,-1681
7876,157.52,-340,-2142,-1680
7877,157.54,-339,-2142,-1681
7878,157.56,-338,-2143,-1681
7879,157.58,-339,-2144,-1679
7880,157.6,-336,-2144,-1680
7881,157.62,-336,-2144,-1682
7882,157.64,-340,-2142,-1686
7883,157.66,-339,-2142,-1686
7884,157.68,-338,-2143,-1681
7885,157.7,-338,-2142,-1680
7886,157.72,-338,-2141,-1680
7887,157.74,-338,-2141,-1679
7888,157.76,-338,-2142,-1679
7889,157.78,-338,-2142,-1680
7890,157.8,-338,-2142,-1681
7891,157.82,-339,-2143,-1682
7892,157.84,-340,-2144,-1683
7893,157.86,-340,-2144,-1683
7894,157.88,-340,-2144,-1682
7895,157.9,-340,-2144,-1681
7896,157.92,-340,-2143,-1680
7897,157.94,-339,-2142,-1678
7898,157.96,-338,-2143,-1677
7899,157.98,-338,-2144,-1678
7900,158,-338,-2144,-1679
7901,158.02,-338,-2144,-1680
7902,158.04,-339,-2144,-1680
7903,158.06,-340,-2143,-1680
7904,158.08,-340,-2143,-1680
7905,158.1,-340,-2144,-1680
7906,158.12,-340,-2144,-1679
7907,158.14,-340,-2144,-1678
7908,158.16,-339,-2144,-1678
7909,158.18,-338,-2144,-1678
7910,158.2,-338,-2143,-1679
7911,158.22,-337,-2142,-1680
7912,158.24,-336,-2141,-1680
7913,158.26,-336,-2140,-1681
7914,158.28,-335,-2141,-1682
7915,158.3,-335,-2143,-1681
7916,158.32,-336,-2143,-1680
7917,158.34,-336,-2143,-1680
7918,158.36,-336,-2143,-1680
7919,158.38,-336,-2142,-1680
7920,158.4,-337,-2141,-1680
7921,158.42,-337,-2141,-1681
7922,158.44,-336,-2141,-1682
7923,158.46,-336,-2140,-1682
7924,158.48,-336,-2140,-1682
7925,158.5,-335,-2140,-1683
7926,158.52,-335,-2138,-1683
7927,158.54,-336,-2140,-1680
7928,158.56,-336,-2140,-1682
7929,158.58,-336,-2138,-1682
7930,158.6,-335,-2139,-1679
7931,158.62,-335,-2138,-1680
7932,158.64,-335,-2137,-1680
7933,158.66,-333,-2136,-1679
7934,158.68,-331,-2135,-1679
7935,158.7,-330,-2134,-1680
7936,158.72,-329,-2134,-1680
7937,158.74,-328,-2133,-1680
7938,158.76,-327,-2132,-1680
7939,158.78,-325,-2132,-1680
7940,158.8,-324,-2132,-1680
7941,158.82,-325,-2132,-1680
7942,158.84,-326,-2131,-1680
7943,158.86,-326,-2130,-1680
7944,158.88,-325,-2129,-1680
7945,158.9,-324,-2128,-1680
7946,158.92,-324,-2128,-1680
7947,158.94,-323,-2127,-1679
7948,158.96,-322,-2125,-1678
7949,158.98,-321,-2124,-1679
7950,159,-319,-2124,-1679
7951,159.02,-318,-2123,-1678
7952,159.04,-317,-2121,-1677
7953,159.06,-315,-2119,-1677
7954,159.08,-314,-2118,-1678
7955,159.1,-313,-2117,-1677
7956,159.12,-312,-2115,-1676
7957,159.14,-311,-2113,-1676
7958,159.16,-309,-2112,-1675
7959,159.18,-308,-2111,-1674
7960,159.2,-307,-2109,-1674
7961,159.22,-305,-2107,-1673
7962,159.24,-303,-2105,-1672
7963,159.26,-302,-2103,-1672
7964,159.28,-301,-2101,-1672
7965,159.3,-299,-2098,-1671
7966,159.32,-297,-2095,-1670
7967,159.34,-295,-2093,-1669
7968,159.36,-293,-2091,-1667
7969,159.38,-291,-2088,-1665
7970,159.4,-289,-2085,-1663
7971,159.42,-287,-2083,-1662
7972,159.44,-284,-2080,-1662
7973,159.46,-280,-2076,-1660
7974,159.48,-276,-2071,-1658
7975,159.5,-273,-2067,-1656
7976,159.52,-271,-2065,-1654
7977,159.54,-261,-2046,-1646
7978,159.56,-252,-2025,-1636
7979,159.58,-251,-2020,-1632
7980,159.6,-251,-2017,-1630
7981,159.62,-252,-2014,-1628
7982,159.64,-252,-2008,-1624
7983,159.66,-252,-2002,-1621
7984,159.68,-252,-1997,-1619
7985,159.7,-253,-1992,-1618
7986,159.72,-254,-1988,-1615
7987,159.74,-255,-1984,-1610
7988,159.76,-256,-1980,-1607
7989,159.78,-257,-1977,-1605
7990,159.8,-259,-1973,-1601
7991,159.82,-262,-1968,-1595
7992,159.84,-266,-1963,-1591
7993,159.86,-269,-1958,-1587
7994,159.88,-271,-1955,-1584
7995,159.9,-274,-1952,-1582
7996,159.92,-278,-1947,-1577
7997,159.94,-281,-1942,-1572
7998,159.96,-284,-1939,-1568
7999,159.98,-288,-1937,-1562
8000,160,-292,-1933,-1556
8001,160.02,-296,-1929,-1552
8002,160.04,-299,-1928,-1550
8003,160.06,-303,-1926,-1549
8004,160.08,-308,-1922,-1545
8005,160.1,-313,-1919,-1540
8006,160.12,-318,-1918,-1536
8007,160.14,-322,-1917,-1533
8008,160.16,-326,-1916,-1529
8009,160.18,-331,-1915,-1524
8010,160.2,-337,-1913,-1521
8011,160.22,-342,-1912,-1519
8012,160.24,-347,-1911,-1516
8013,160.26,-352,-1910,-1511
8014,160.28,-357,-1910,-1506
8015,160.3,-363,-1911,-1501
8016,160.32,-367,-1912,-1497
8017,160.34,-371,-1912,-1493
8018,160.36,-378,-1913,-1488
8019,160.38,-387,-1914,-1484
8020,160.4,-395,-1914,-1480
8021,160.42,-404,-1914,-1477
8022,160.44,-417,-1914,-1474
8023,160.46,-430,-1915,-1470
8024,160.48,-443,-1917,-1467
8025,160.5,-454,-1919,-1465
8026,160.52,-466,-1921,-1463
8027,160.54,-481,-1924,-1461
8028,160.56,-496,-1927,-1460
8029,160.58,-507,-1928,-1460
8030,160.6,-516,-1930,-1460
8031,160.62,-529,-1933,-1461
8032,160.64,-542,-1936,-1461
8033,160.66,-551,-1939,-1461
8034,160.68,-561,-1942,-1462
8035,160.7,-575,-1945,-1461
8036,160.72,-590,-1947,-1461
8037,160.74,-606,-1950,-1462
8038,160.76,-618,-1954,-1462
8039,160.78,-632,-1958,-1462
8040,160.8,-650,-1964,-1462
8041,160.82,-666,-1972,-1461
8042,160.84,-676.749999999992,-1980.24999999999,-1461
8043,160.86,-687.499999999985,-1988.49999999999,-1461
8044,160.88,-698.250000000008,-1996.75000000001,-1461
8045,160.9,-709,-2005,-1461
8046,160.92,-718,-2015,-1463
8047,160.94,-724,-2023,-1465
8048,160.96,-730,-2032,-1469
8049,160.98,-738,-2044,-1475
8050,161,-746,-2056,-1482
8051,161.02,-752,-2065,-1488
8052,161.04,-758,-2074,-1494
8053,161.06,-766,-2086,-1502
8054,161.08,-772,-2097,-1510
8055,161.1,-776,-2105,-1516
8056,161.12,-779,-2112,-1521
8057,161.14,-778,-2126,-1526
8058,161.16,-778,-2136,-1531
8059,161.18,-778,-2141,-1537
8060,161.2,-776,-2146,-1542
8061,161.22,-775,-2143,-1547
8062,161.24,-773,-2142,-1553
8063,161.26,-771,-2146,-1559
8064,161.28,-769,-2149,-1564
8065,161.3,-767,-2151,-1569
8066,161.32,-766,-2153,-1576
8067,161.34,-765,-2155,-1582
8068,161.36,-764,-2156,-1588
8069,161.38,-763,-2156,-1593
8070,161.4,-761,-2156,-1596
8071,161.42,-759,-2156,-1600
8072,161.44,-756,-2157,-1605
8073,161.46,-754,-2158,-1609
8074,161.48,-753,-2157,-1612
8075,161.5,-751,-2156,-1616
8076,161.52,-749,-2156,-1620
8077,161.54,-748,-2156,-1623
8078,161.56,-748,-2156,-1625
8079,161.58,-747,-2155,-1627
8080,161.6,-746,-2154,-1630
8081,161.62,-747,-2154,-1633
8082,161.64,-747,-2154,-1635
