"X","Y","Z"
"-436","-3106","550"
"-436","-3106","550"
"-436","-3106","550"
"-436","-3106","551"
"-436","-3106","552"
"-436","-3106","551"
"-436","-3106","550"
"-436","-3106","550"
"-436","-3106","550"
"-436","-3106","550"
"-435","-3106","551"
"-434","-3106","551"
"-434","-3106","551"
"-434","-3106","552"
"-434","-3106","551"
"-436","-3108","551"
"-438","-3110","552"
"-438","-3107","552"
"-437","-3109","550"
"-434","-3109","552"
"-434","-3102","554"
"-436","-3102","544"
"-434","-3106","544"
"-433","-3107","551"
"-434","-3106","550"
"-434","-3106","550"
"-434","-3106","550"
"-434","-3106","549"
"-434","-3106","548"
"-434","-3106","550"
"-434","-3106","552"
"-434","-3106","552"
"-434","-3106","552"
"-434","-3106","552"
"-434","-3106","552"
"-433","-3105","552"
"-432","-3105","552"
"-433","-3106","552"
"-434","-3106","551"
"-433","-3106","550"
"-433","-3106","550"
"-434","-3106","549"
"-434","-3107","547"
"-434","-3107","546"
"-434","-3106","546"
"-434","-3106","546"
"-434","-3106","546"
"-434","-3106","546"
"-434","-3106","547"
"-434","-3106","548"
"-434","-3105","548"
"-434","-3104","549"
"-434","-3104","550"
"-434","-3104","550"
"-434","-3104","550"
"-434","-3104","551"
"-434","-3105","551"
"-433","-3106","550"
"-432","-3106","550"
"-432","-3106","549"
"-432","-3106","547"
"-432","-3106","546"
"-432","-3106","546"
"-432","-3106","545"
"-432","-3106","544"
"-432","-3106","545"
"-431","-3106","547"
"-430","-3106","548"
"-430","-3106","548"
"-430","-3106","549"
"-431","-3106","550"
"-432","-3106","550"
"-432","-3103","547"
"-434","-3104","546"
"-439","-3104","548"
"-439","-3102","546"
"-434","-3104","548"
"-432","-3104","552"
"-432","-3106","552"
"-432","-3108","550"
"-434","-3108","550"
"-436","-3108","552"
"-436","-3108","548"
"-437","-3108","546"
"-437","-3111","550"
"-434","-3109","548"
"-433","-3106","546"
"-434","-3108","548"
"-434","-3108","548"
"-434","-3108","548"
"-434","-3108","548"
"-434","-3108","548"
"-434","-3108","548"
"-434","-3108","548"
"-434","-3108","548"
"-434","-3107","548"
"-434","-3106","549"
"-434","-3107","550"
"-434","-3108","549"
"-433","-3108","548"
"-432","-3108","548"
"-432","-3108","548"
