t,Bx,By,Bz
236.86,-668.498030987893,-2456.86133342766,-2532.76834914188
236.88,-666.004630599127,-2458.32391678607,-2532.11222603031
236.9,-663.804042378599,-2459.5968585252,-2531.58630987178
236.92,-661.890856228072,-2460.68085819175,-2531.19116022401
236.94,-660.261807661302,-2461.54885761963,-2530.91954038282
236.96,-658.877482518311,-2462.09136443344,-2530.73925257741
236.98,-657.464052759264,-2462.48852522456,-2530.52383649745
237,-656.006608135371,-2462.74922511139,-2530.26963985946
237.02,-654.505395040272,-2462.87455153491,-2529.97480894775
237.04,-653.100184061372,-2462.90463876367,-2529.6413684049
237.06,-651.979795686907,-2462.92078398236,-2529.28209164644
237.08,-651.173390082522,-2463.18042465761,-2528.93023040624
237.1,-650.689028627352,-2463.8903711732,-2528.58806345987
237.12,-650.523050735661,-2464.55016213465,-2528.25275854283
237.14,-650.41295751454,-2464.95874191778,-2527.95663120922
237.16,-650.094282397278,-2465.43084420447,-2527.70902801876
237.18,-649.386920497161,-2465.91219704565,-2527.50669112898
237.2,-648.289913983007,-2466.40194268691,-2527.3506451428
237.22,-646.802655924484,-2466.90079674754,-2527.23954919011
237.24,-644.552832774202,-2467.36336602237,-2527.09576092364
237.26,-641.764922527995,-2467.78086524655,-2526.88140484051
237.28,-638.568003847249,-2468.15075917894,-2526.58040849336
237.3,-634.961461069104,-2468.47030947491,-2526.19230716696
237.32,-631.010734609041,-2468.74024878048,-2525.73060065426
237.34,-627.091538040279,-2468.95503664655,-2525.26068363451
237.36,-623.573902940689,-2469.15905990801,-2524.86053093929
237.38,-620.496238362617,-2469.35555685536,-2524.53927597744
237.4,-617.858412860838,-2469.54486985924,-2524.2939374926
237.42,-615.681993503709,-2469.69823960772,-2524.11422946815
237.44,-613.945359286534,-2469.7745823712,-2523.96516034793
237.46,-612.273771354334,-2469.78092007923,-2523.78117410135
237.48,-610.666128767626,-2469.71664925504,-2523.56328737117
237.5,-609.126372450598,-2469.58216716644,-2523.31134620167
237.52,-607.607368530876,-2469.316395716,-2523.01820695905
237.54,-606.057163202438,-2468.91096557162,-2522.69623227097
237.56,-604.432810209643,-2468.40981523365,-2522.37066866861
237.58,-602.733399444797,-2467.81329316259,-2522.04055127812
237.6,-600.960694984357,-2467.12053273416,-2521.70295777047
237.62,-599.16304424491,-2466.24896018907,-2521.39372042301
237.64,-597.398359446217,-2465.24690717154,-2521.12367593066
237.66,-595.693485609535,-2464.14850292918,-2520.89679416298
237.68,-594.044957991407,-2462.95440181161,-2520.71078483095
237.7,-592.458577428946,-2461.66264943327,-2520.56317215062
237.72,-590.966112694474,-2460.25686133185,-2520.43782914604
237.74,-589.518878274737,-2458.82048779186,-2520.29882564371
237.76,-588.107416543736,-2457.36559575451,-2520.13944454593
237.78,-586.731755973957,-2455.89223684227,-2519.96052584665
237.8,-585.39468813616,-2454.43757709477,-2519.8007953368
237.82,-584.097481637789,-2453.07443173382,-2519.72738449102
237.84,-582.808132194524,-2451.81877775997,-2519.75700331999
237.86,-581.526341351545,-2450.66998679904,-2519.89181202974
237.88,-580.255917705946,-2449.62864713009,-2520.13097676425
237.9,-579.065058577937,-2448.7091179846,-2520.45065457896
237.92,-578.002745580046,-2447.88453037183,-2520.79790455601
237.94,-577.062240900136,-2447.08471817188,-2521.10481682623
237.96,-576.247514187018,-2446.31015754758,-2521.37237763297
237.98,-575.554280044131,-2445.56053775564,-2521.60216748617
238,-575.032172056287,-2444.74990755912,-2521.62970903028
238.02,-574.617523585674,-2443.84594341659,-2521.44237944718
238.04,-574.260410420081,-2442.83877079685,-2521.05674184531
238.06,-573.963481289563,-2441.72851539737,-2520.47371892843
238.08,-573.724967980144,-2440.5125626504,-2519.70309847468
238.1,-573.492580282263,-2439.16410887572,-2518.91766421982
238.12,-573.219735689322,-2437.7683071406,-2518.28382082103
238.14,-572.893983335245,-2436.34356497279,-2517.83651005911
238.16,-572.518464382924,-2434.88755374273,-2517.57374540769
238.18,-572.097815970375,-2433.42226565545,-2517.53117244173
238.2,-571.637005966548,-2431.99485255368,-2517.77303796121
238.22,-571.182257108207,-2430.63300100718,-2518.12746037386
238.24,-570.732876468401,-2429.33654942209,-2518.59332876834
238.26,-570.288811255935,-2428.10585527715,-2519.16954995683
238.28,-569.94314043492,-2426.91937527688,-2519.8134095197
238.3,-569.76925507583,-2425.7394355742,-2520.45603118832
238.32,-569.763796063377,-2424.51989316758,-2521.02104999833
238.34,-569.925001496167,-2423.2613339939,-2521.50949544523
238.36,-570.253829231147,-2421.96293048408,-2521.92184176506
238.38,-570.832444484303,-2420.62121781434,-2522.28834308815
238.4,-571.591862702669,-2419.25630728864,-2522.65886756637
238.42,-572.454365310227,-2417.88571651653,-2523.0687075782
238.44,-573.417560465867,-2416.5094423688,-2523.51602421268
238.46,-574.480543796516,-2415.12904070461,-2524.00286144472
238.48,-575.650780968387,-2413.80707620618,-2524.56761236004
238.5,-576.849562717291,-2412.54746767673,-2525.17569474958
238.52,-578.055261996118,-2411.35151261186,-2525.8184764842
238.54,-579.265599134952,-2410.21958135369,-2526.49928772914
238.56,-580.480914807116,-2409.14806132677,-2527.21635245078
238.58,-581.700893468467,-2408.1233992836,-2527.97356722536
238.6,-582.925202167601,-2407.08348727431,-2528.73356173038
238.62,-584.153265876377,-2406.02858790988,-2529.4962125225
238.64,-585.381401288519,-2404.95970534697,-2530.2610143181
238.66,-586.569376267271,-2403.89438167723,-2531.02051421788
238.68,-587.682253459271,-2402.85310406757,-2531.76244569456
238.7,-588.724778389479,-2401.84676105085,-2532.48706824077
238.72,-589.691445037768,-2400.87659831287,-2533.19514956432
238.74,-590.58355936369,-2399.94133842162,-2533.88536581164
238.76,-591.44175738852,-2399.1402982244,-2534.55472565502
238.78,-592.321100551374,-2398.49079314396,-2535.21168897723
238.8,-593.256990753978,-2397.9745049675,-2535.86767522933
238.82,-594.24882495841,-2397.59181822194,-2536.52351073078
238.84,-595.298426236989,-2397.34169081667,-2537.17995695981
238.86,-596.502640627945,-2397.14216107598,-2537.88321481027
238.88,-597.822648410407,-2396.89290949367,-2538.63537180719
238.9,-599.244332682699,-2396.55799409959,-2539.43484082153
238.92,-600.769181569857,-2396.13792417849,-2540.28138340592
238.94,-602.44443701266,-2395.65118983217,-2541.16874433992
238.96,-604.440791818809,-2395.15701847852,-2542.06932188804
238.98,-606.655041462363,-2394.73911817235,-2543.43208774741
239,-609.087135412321,-2394.39926216294,-2544.75826931102
239.02,-611.733408188941,-2394.13667262084,-2545.54749786323
239.04,-614.506640870329,-2394.00591023563,-2546.35218323443
239.06,-617.251737377932,-2394.05761392409,-2547.241057754
239.08,-619.800851968111,-2394.23054176019,-2548.24351286119
239.1,-622.152159741052,-2394.02597520843,-2549.35995349815
239.12,-624.307172179426,-2393.94251633414,-2550.59018946243
239.14,-626.031896528432,-2394.432742771,-2552.01452356459
239.16,-627.312385444422,-2394.91981615849,-2553.61391656081
239.18,-628.257985750242,-2395.33842624793,-2555.32910546324
239.2,-628.871871919553,-2395.68781884904,-2557.1602739973
239.22,-629.153159313705,-2395.96850117941,-2559.10794877575
239.24,-629.304971354265,-2396.03732666638,-2560.80098215294
239.26,-629.575993382329,-2395.93177749506,-2562.13480200177
239.28,-630.070111336069,-2395.67140812145,-2563.07279091561
239.3,-630.786381750988,-2395.25710829636,-2563.61304625026
239.32,-631.709743283205,-2394.6925816168,-2563.75009369536
239.34,-632.753767252474,-2393.9884443624,-2563.4242773165
239.36,-633.708379009495,-2393.28742595028,-2563.00588833809
239.38,-634.561443933573,-2392.60107999834,-2562.51951833192
239.4,-635.315163420394,-2391.92878702704,-2561.96682770938
239.42,-635.329246322193,-2391.78750670387,-2561.29920486632
239.44,-633.70859178907,-2392.91128362858,-2560.45942303681
239.46,-630.541330600437,-2395.28671567637,-2559.50174304189
239.48,-625.824978174276,-2398.91290169128,-2558.42881992727
239.5,-619.558714809202,-2403.79319944882,-2557.24163460849
239.52,-612.864290421863,-2409.178638502,-2556.16566053333
239.54,-606.979146317552,-2414.15352213785,-2555.37196602019
239.56,-602.812330291842,-2417.98260313157,-2554.92788419282
239.58,-600.366082326238,-2420.66664212783,-2554.83366114238
239.6,-599.638564848232,-2422.20517567349,-2555.09038272984
239.62,-600.590516483674,-2422.57648728031,-2555.59490598524
239.64,-602.094883813726,-2422.52457146125,-2556.10867864604
239.66,-603.555889993662,-2422.44838794356,-2556.50827821509
239.68,-604.972174080525,-2422.34745603664,-2556.79366186905
239.7,-606.330064917247,-2422.23272695218,-2557.45580089746
239.72,-607.552901460256,-2422.17804609698,-2557.94525180196
239.74,-608.68304192844,-2422.20576847188,-2557.85954639828
239.76,-609.728670238378,-2422.31877167532,-2557.71124316902
239.78,-610.692140149362,-2422.51623633237,-2557.49951103853
239.8,-611.516768656752,-2422.77549287461,-2557.27709456964
239.82,-612.134595916608,-2423.04697777426,-2557.13794947393
239.84,-612.616032462412,-2423.25677173728,-2557.13804162634
239.86,-612.961055593195,-2423.40621171101,-2557.27490134862
239.88,-613.171398437315,-2423.4947924102,-2557.55083205563
239.9,-613.242215462221,-2423.51881338553,-2557.98599807089
239.92,-613.221497503526,-2422.99938180512,-2558.54094886029
239.94,-613.193335955595,-2422.97508896381,-2559.1309680907
239.96,-613.153968469747,-2422.94631805635,-2559.7547106143
239.98,-613.104627373297,-2422.91252439042,-2560.41301816238
240,-613.120222209015,-2422.91691244291,-2561.01380169996
240.02,-613.221107913912,-2422.96864573238,-2561.51957700658
240.04,-613.407595213936,-2423.0695169099,-2561.91771850587
240.06,-613.684558491548,-2422.72061530905,-2562.20538564608
240.08,-614.04856714092,-2422.91903235204,-2562.38964042919
240.1,-614.500323730578,-2423.13537507969,-2562.52241364958
240.12,-614.968762999208,-2423.32766449905,-2562.69656845948
240.14,-615.440993325418,-2423.48969521557,-2563.42740637
240.16,-615.911461118191,-2423.62116941728,-2564.21599385375
240.18,-616.37987490108,-2423.72157640903,-2564.57664460549
240.2,-616.843214647872,-2423.79387258121,-2565.03735796788
240.22,-617.301479362725,-2423.86677626564,-2565.54643958729
240.24,-617.753248192529,-2423.94064393748,-2566.10359740603
240.26,-618.198429967112,-2424.01415152992,-2566.70977081536
