t,Bx,By,Bz
234.34,-823,-2543,-2608
234.36,-820,-2541,-2604
234.38,-819,-2542,-2608
234.4,-818,-2542,-2608
234.42,-814,-2543,-2608
234.44,-810,-2544,-2607
234.46,-805,-2546,-2606
234.48,-799,-2549,-2607
234.5,-793,-2551,-2608
234.52,-788,-2552,-2608
234.54,-782,-2552,-2607
234.56,-754,-2547,-2602
234.58,-728,-2541,-2597
234.6,-724,-2539,-2596
234.62,-721,-2537,-2595
234.64,-717,-2535,-2594
234.66,-712,-2532,-2592
234.68,-708,-2528,-2590
234.7,-705,-2525,-2588
234.72,-703,-2524,-2585
234.74,-701,-2522,-2583
234.76,-698,-2519,-2581
234.78,-695,-2516,-2578
234.8,-694,-2513,-2576
234.82,-694,-2511,-2575
234.84,-693,-2510,-2574
234.86,-692,-2509,-2573
234.88,-692,-2507,-2572
234.9,-691,-2505,-2570
234.92,-689,-2504,-2567
234.94,-688,-2503,-2565
234.96,-687,-2502,-2564
234.98,-686,-2502,-2563
235,-686,-2503,-2561
235.02,-685,-2503,-2559
235.04,-683,-2502,-2559
235.06,-681,-2502,-2559
235.08,-678,-2501,-2557
235.1,-676,-2499,-2556
235.12,-675,-2498,-2555
235.14,-673,-2497,-2553
235.16,-671,-2496,-2552
235.18,-670,-2496,-2551
235.2,-668,-2495,-2549
235.22,-665,-2493,-2548
235.24,-664,-2492,-2548
235.26,-662,-2490,-2548
235.28,-659,-2487,-2548
235.3,-658,-2486,-2548
235.32,-658,-2486,-2547
235.34,-658,-2486,-2545
235.36,-658,-2485,-2544
235.38,-657,-2483,-2543
235.4,-656,-2482,-2541
235.42,-656,-2482,-2540
235.44,-655,-2482,-2539
235.46,-653,-2480,-2537
235.48,-652,-2477,-2537
235.5,-651,-2476,-2537
235.52,-649,-2475,-2536
235.54,-647,-2473,-2535
235.56,-646,-2472,-2534
235.58,-646,-2472,-2534
235.6,-646,-2472,-2533
235.62,-646,-2472,-2531
235.64,-645,-2472,-2530
235.66,-644,-2471,-2531
235.68,-643,-2470,-2532
235.7,-643,-2469,-2533
235.72,-643,-2468,-2534
235.74,-643,-2469,-2531
235.76,-642,-2470,-2526
235.78,-642,-2470,-2526
235.8,-642,-2472,-2528
235.82,-638,-2475,-2524
235.84,-641,-2473,-2528
235.86,-645,-2467,-2530
235.88,-643,-2467,-2528
235.9,-642,-2470,-2532
235.92,-643,-2469,-2531
235.94,-644,-2468,-2531
235.96,-644,-2469,-2531
235.98,-643,-2470,-2530
236,-643,-2470,-2531
236.02,-644,-2469,-2533
236.04,-644,-2471,-2533
236.06,-644,-2472,-2532
236.08,-644,-2472,-2530
236.1,-644,-2472,-2532
236.12,-644,-2470,-2534
236.14,-644,-2470,-2532
236.16,-645,-2470,-2532
236.18,-647,-2470,-2533
236.2,-648,-2470,-2534
236.22,-648,-2470,-2534
236.24,-648,-2469,-2535
236.26,-648,-2468,-2536
236.28,-647,-2468,-2536
236.3,-646,-2467,-2536
236.32,-646,-2467,-2535
236.34,-646,-2468,-2534
236.36,-646,-2469,-2534
236.38,-646,-2470,-2533
236.4,-646,-2471,-2532
236.42,-646,-2471,-2532
236.44,-645,-2470,-2532
236.46,-645,-2470,-2533
236.48,-646,-2470,-2534
