u,x_norm,y_norm,z_norm
0.305439330543933,0.7785234899328838,0.8117647058823186,0.73090277777778
0.30962343096234307,0.7919463087248304,0.8352941176470031,0.7378472222222247
0.3138075313807531,0.859060402684559,0.8117647058823186,0.7725694444444455
0.3179916317991632,0.8724832214765098,0.8176470588234898,0.7777777777777785
0.3221757322175732,0.8724832214765098,0.8176470588234898,0.7847222222222231
0.3263598326359832,0.8657718120805343,0.8235294117646903,0.7864583333333327
0.3305439330543933,0.879194630872481,0.829411764705832,0.7829861111111136
0.33472803347280333,0.879194630872481,0.829411764705832,0.7829861111111136
0.3389121338912134,0.8859060402684563,0.8352941176470031,0.7829861111111114
0.3430962343096234,0.8859060402684563,0.8470588235293747,0.7934027777777795
0.34728033472803344,0.879194630872481,0.8470588235293453,0.7847222222222253
0.3514644351464435,0.879194630872481,0.8588235294117169,0.7986111111111124
0.35564853556485354,0.8926174496644275,0.8588235294117169,0.7968750000000029
0.3598326359832636,0.8993288590603987,0.864705882352888,0.8055555555555591
0.3640167364016736,0.8993288590603987,0.8705882352940592,0.805555555555557
0.36820083682008364,0.8993288590603987,0.8705882352940592,0.8107638888888921
0.3723849372384937,0.8993288590603987,0.8705882352940592,0.8125000000000017
0.37656903765690375,0.8926174496644275,0.8705882352940592,0.8159722222222229
0.3807531380753138,0.9060402684563741,0.8764705882352303,0.8263888888888887
0.3849372384937238,0.8926174496644275,0.8764705882352303,0.8263888888888887
0.38912133891213385,0.9060402684563741,0.8764705882352303,0.8298611111111099
0.3933054393305439,0.9194630872483206,0.8764705882352303,0.8385416666666684
0.39748953974895396,0.9261744966442919,0.8764705882352303,0.840277777777778
0.40167364016736395,0.9261744966442919,0.8764705882352303,0.8524305555555577
0.405857740585774,0.9261744966442919,0.8764705882352303,0.8420138888888896
0.41004184100418406,0.9395973154362384,0.8764705882352303,0.850694444444446
0.4142259414225941,0.9530201342281849,0.8764705882352303,0.8472222222222225
0.41841004184100417,0.9664429530201315,0.8823529411764014,0.8559027777777789
0.42259414225941416,0.9731543624161069,0.8823529411764014,0.8559027777777789
0.4267782426778242,0.9664429530201315,0.8823529411764014,0.8541666666666672
0.43096234309623427,0.979865771812078,0.894117647058773,0.8628472222222235
0.4351464435146443,0.9664429530201315,0.894117647058773,0.861111111111114
0.4393305439330544,0.9664429530201315,0.9058823529411446,0.8576388888888906
0.44351464435146437,0.9731543624161069,0.9058823529411446,0.8593750000000023
0.4476987447698744,0.9664429530201315,0.9147058823529307,0.8593750000000023
0.4518828451882845,0.9731543624161069,0.9147058823529013,0.8593750000000023
0.45606694560669453,0.9597315436241604,0.9147058823529307,0.8628472222222235
0.4602510460251046,0.9597315436241604,0.9147058823529013,0.866319444444447
0.4644351464435146,0.9597315436241604,0.9147058823529013,0.8750000000000011
0.46861924686192463,0.9530201342281849,0.9147058823529013,0.8732638888888915
0.4728033472803347,0.9597315436241604,0.926470588235273,0.880208333333334
0.47698744769874474,0.9530201342281849,0.9147058823529013,0.8750000000000032
